identificador,nome,miniatura,resumo,disciplina,ano,descritores,linkdown,visualizar,tema,origem,autores,idioma,data
0,A história da Páscoa,recursos/img/Portugues/historiapascoa.png,"O recurso ""A História da Páscoa"" é um conto infantil animado da série Livros Animados Zuzubalândia, que tem como enredo a história da Páscoa, seu conceito do ponto de vista mitológico, histórico e cristão, bem como os costumes e símbolos relacionados a esta data comemorativa.",Portugues,1,DPI01;DPI03;DPI05;DPI06,recursos/recurso/portugues/1/ahistoriadapascoa.rar,recursos/recurso/portugues/1/ahistoriadapascoa.swf,História infantil. Origem da Páscoa.,Portal do Professor,Mariana Caltabiano,Português,2009
1,Brincando com as vogais,recursos/img/Portugues/brincandocomasvogais.png,"O recurso ""Brincando com as vogais"" trabalha com a formação de palavras, por meio da relação entre imagem e palavra. Além disso, o seguinte recurso também aborda o desenvolvimento da coordenação motora.",Portugues,1,DPI03;DPI04;DPI05;DPII19,recursos/recurso/portugues/1/brincandocomasvogais.rar,recursos/recurso/portugues/1/brincandocomasvogais.swf,Formação de palavras.Correlação entre palavras e imagens.,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS)),Fátima Beatriz,Português,Desconhecida
2,Formando palavras,recursos/img/Portugues/formandopalavras.png,"O recurso ""Formando palavras"" trabalha com a formação de palavras, proporcionando aos alunos a identificação de letras e de palavras em diferentes níveis de complexidade.",Portugues,1,DPI03;DPI04;DPII19,recursos/recurso/portugues/1/formandopalavras.rar,recursos/recurso/portugues/1/formandopalavras.swf,Identificação de letras. Formação de palavras.,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS)),Fátima Beatriz,Português,Desconhecida
3,Aprendendo o alfabeto,recursos/img/Portugues/aprendendooalfabeto.png,"O recurso ""Aprendendo o alfabeto"" busca estimular os alunos a conhecer as representações das letras maiúsculas do alfabeto e a ordem alfabética.",Portugues,1,DPI04;DPII19,recursos/recurso/portugues/1/aprendendooalfabeto.rar,recursos/recurso/portugues/1/aprendendooalfabeto.swf,Letras maiúsculas. Ordem alfabética.,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS)),Fátima Beatriz,Português,Desconhecida
4,Colorindo e aprendendo,recursos/img/Portugues/colorindoeaprendendo.png,"O recurso ""Colorindo e aprendendo"" trabalha com o reconhecimento das vogais e consoantes do alfabeto, levando o aluno a conhecer a distinção entre vogal e consoante.",Portugues,1,DPI01;DPII19,recursos/recurso/portugues/1/colorindoeaprendendo.rar,recursos/recurso/portugues/1/colorindoeaprendendo.swf,Vogais. Consoantes. Alfabeto.,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS)),Fátima Beatriz,Português,Desconhecida
5,Contando letras,recursos/img/Portugues/contandoletras.png,"O recurso ""Contando letras” trabalha com a formação de palavras e com a relação entre palavras e número de letras.",Portugues,1,DPI03;DPI04;DPI05;DPII19,recursos/recurso/portugues/1/contandoletras.rar,recursos/recurso/portugues/1/contandoletras.swf,"Formação de palavras. Relação entre letras, palavras e imagens.",Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS)),Fátima Beatriz,Português,Desconhecida
6,Brincando com as letrinhas,recursos/img/Portugues/brincandocomasletrinhas.png,"O recurso “Brincando com as letrinhas” trabalha com a identificação das palavras e as suas respectivas letras,  estabelecendo a relação entre as palavras e a quantidade de letras.",Portugues,1,DPI03;DPI04;DPI05;DPII19,recursos/recurso/portugues/1/brincandocomasletrinhas.rar,recursos/recurso/portugues/1/brincandocomasletrinhas.swf,Formação de palavras. Identificação de letras. Relação entre letras e palavras.,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS),Fátima Beatriz,Português,Desconhecida
7,Alfabeto em ordem,recursos/img/Portugues/alfabetoemordem.png,"O recurso ""Alfabeto em ordem"" trabalha com a ordenação do alfabeto, levando o aluno a estabelecer a ordem correta das letras no alfabeto.",Portugues,1,DPI04;DPI05;DPII19,recursos/recurso/portugues/1/alfabetoemordem.rar,recursos/recurso/portugues/1/alfabetoemordem.swf,Ordenação. Alfabeto.,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS),Fátima Beatriz,Português,Desconhecida
8,Jogo das letras I,recursos/img/Portugues/jogodasletras.png,"O recurso ""Jogo das letras I"" trabalha  a aprendizagem do alfabeto, ressaltando a formação das palavras por meio da relação com as imagens.",Portugues,1,DPI03;DPI04;DPI05;DPII19,recursos/recurso/portugues/1/jogodasletrasI.rar,recursos/recurso/portugues/1/jogodasletrasI.swf,Formação de palavras;Correlação de palavras e imagens,Instituto Estadual de Educação de Minas Gerais (MG),Iara Medeiros,Português,2013
9,Jogo das vogais,recursos/img/Portugues/jogodasvogais.png,"O recurso ""Jogo das vogais"" trabalha com a formação de palavras, a partir da letra inicial de cada palavra.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/jogodasvogais.rar,recursos/recurso/portugues/1/jogodasvogais.swf,Formação de palavras;Estudo das vogais.,Alfabetizando Iara Medeiros/ Instituto Estadual de Educação de MG,,Português,2006
